Altium Designer Pick and Place Locations
C:\Users\A19614\OneDrive - Microchip Technology Inc\PROJECTS\WIP_Projects\dsPICHW\dsPIC33CDVC-Drone-ESC-Reference-Design\Rev2.0\04-12307 Rev2\Project_Outputs\DevTools\02-01243-R2_PNP\02-01243-R2_PNP.csv

========================================================================================================================
File Design Information:

Date:       30/01/26
Time:       16:25
Revision:   adbf8142ae600a924dfb7ed2f63f33920de470c2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LABEL1","08-10015","BottomLayer","08-10015","-398.1492","-458.3766","180",""
"FD6","FIDUCIAL ROUND","BottomLayer","Fiducial_1mm","53.6804","31.7500","180","Fiducial"
"PAD2","Rubber Pad Cylindrical","BottomLayer","BUMP_3M_SJ61A1_CYLINDRICAL_BLACK_D7.9H5.08","-398.1492","-458.3766","180",""
"FD2","FIDUCIAL ROUND","TopLayer","Fiducial_1mm","1.1982","1.3944","0","Fiducial"
"FD3","FIDUCIAL ROUND","TopLayer","Fiducial_1mm","53.7982","1.0944","0","Fiducial"
"IBUS","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","11.1177","21.3583","180","Test Point"
"PAD3","Rubber Pad Cylindrical","BottomLayer","BUMP_3M_SJ61A1_CYLINDRICAL_BLACK_D7.9H5.08","-398.1492","-458.3766","180",""
"PAD1","Rubber Pad Cylindrical","BottomLayer","BUMP_3M_SJ61A1_CYLINDRICAL_BLACK_D7.9H5.08","-398.1492","-458.3766","180",""
"FD4","FIDUCIAL ROUND","BottomLayer","Fiducial_1mm","1.2000","1.3888","180","Fiducial"
"FD5","FIDUCIAL ROUND","BottomLayer","Fiducial_1mm","53.8018","1.0944","180","Fiducial"
"FD1","FIDUCIAL ROUND","TopLayer","Fiducial_1mm","6.9982","31.5944","0","Fiducial"
"PHASE_C","Test Point No BOM","TopLayer","TP_3.0X2.3X1.3HOLE","52.8000","27.7505","90","Test Point"
"PHASE_B","Test Point No BOM","TopLayer","TP_3.0X2.3X1.3HOLE","52.8000","16.5003","90","Test Point"
"PHASE_A","Test Point No BOM","TopLayer","TP_3.0X2.3X1.3HOLE","52.8000","5.2500","90","Test Point"
"Rsh1","Resistor","TopLayer","RES_C_2512","40.2000","9.8667","270","Resistor"
"R111","Resistor","BottomLayer","RES_C_0603","33.0001","27.1714","180","Resistor"
"AUX3","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","13.5227","4.6928","90","Test Point"
"AUX2","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","12.6285","6.6419","90","Test Point"
"AUX1","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","9.5651","11.0799","90","Test Point"
"VB","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","32.3655","15.8678","270","Test Point"
"RSVD2","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","14.3761","5.5588","90","Test Point"
"RSVD1","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","15.3591","4.7179","90","Test Point"
"R1","Resistor","TopLayer","RES_C_0402","4.6000","22.8500","0","Resistor"
"C6","Capacitor NP","TopLayer","CAP_C_0402","4.6000","23.8257","180",""
"R154","Resistor","BottomLayer","RES_C_0603","41.5186","7.9282","270","Resistor"
"R2","Resistor","TopLayer","RES_C_0402","10.6914","18.1977","180","Resistor"
"C1","Capacitor NP","TopLayer","CAP_C_0402","10.6914","17.1054","180",""
"HVDD","Test Point No BOM","TopLayer","TP_1.1x0.6","43.8750","31.4500","90","Test Point"
"C3","Capacitor POL","TopLayer","CAP_RAD_P3.5D8H13_WE","24.3000","28.4727","180","Capacitor"
"J5","Header 1x2","TopLayer","HDR_M_2.54_1x2_TH_V_SAM_TSW-102-08-G-S","2.0240","29.4987","270",""
"J4","Header 1x4","TopLayer","HDR_M_2.54_1x4","28.5300","2.1500","0",""
"J3","Header 1x3","TopLayer","HDR_M_2.54_1x3_TH_V_SAM_TSW-103-08-G-S","2.0740","7.1193","270",""
"WAKE","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","23.6080","12.0493","90","Test Point"
"TEMP","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","4.3340","10.5230","90","Test Point"
"R11","Resistor","TopLayer","RES_C_0402","4.2025","12.0299","270","Resistor"
"R12","Resistor","TopLayer","RES_C_0402","4.6524","20.1310","0","Resistor"
"R9","Resistor","BottomLayer","RES_C_2512","20.1000","24.0500","180","Resistor"
"LSC","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","35.7373","21.3873","90","Test Point"
"LSB","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","35.5439","16.9003","0","Test Point"
"LSA","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","35.5250","6.2804","0","Test Point"
"J2","Header 1x5","TopLayer","HDR_M_2.54_1x5_MH5.84_IH2.54_TH3.2_TH_VERT","2.0490","18.6948","90",""
"J1","CON 1x2 POLARIZED","TopLayer","CON_TERMINAL_XT30U-M_5mm_1x2_Male_30A_TH_V","13.3899","29.3885","180",""
"HSC","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","37.3000","24.7696","90","Test Point"
"HSB","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","37.4592","17.5751","270","Test Point"
"HSA","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","36.1842","10.2671","90","Test Point"
"C4","Capacitor NP","TopLayer","CAP_C_0402","4.2025","14.0516","270",""
"R54","","TopLayer","RES_C_0603","5.0000","27.0500","90","Resistor"
"R19","Resistor","TopLayer","RES_C_0603","5.0000","30.0037","90","Resistor"
"VC","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","32.0115","22.9671","90","Test Point"
"VBUS","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","13.6188","21.5202","0","Test Point"
"VBOOT","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","26.3000","21.8903","90","Test Point"
"VA","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","35.5000","3.2377","270","Test Point"
"U9","dsPIC33CDVC256MP506_VGQFN-64","TopLayer","QFN-64_9X9_3EP_M9","16.9785","13.1251","270",""
"TP19","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","13.0493","20.1971","0","Test Point"
"TP17","Test Point No BOM","TopLayer","TP_TH_0.7PADX0.4HOLE","5.0193","8.7170","0","Test Point"
"TP14","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","26.3000","10.7500","0","Test Point"
"TP13","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","25.7000","9.7500","0","Test Point"
"TP12","Test Point No BOM","TopLayer","CON_TP_SMD_D25mil_NoSilk","14.4000","20.5500","0","Test Point"
"Rsh3","Resistor","TopLayer","RES_C_2512","40.2000","28.2210","270","Resistor"
"Rsh2","Resistor","TopLayer","RES_C_2512","40.2000","18.7846","270","Resistor"
"R187","Resistor","TopLayer","RES_C_0603","5.0193","6.9500","270","Resistor"
"R183","Resistor","BottomLayer","RES_C_0603","9.4151","4.7600","270","Resistor"
"R181","Resistor","BottomLayer","RES_C_0603","10.8126","4.7487","90","Resistor"
"R173","Resistor","TopLayer","RES_C_0805","36.7092","22.7500","0","Resistor"
"R171","Resistor","BottomLayer","RES_C_0805","37.3000","26.8500","90","Resistor"
"R168","Resistor","TopLayer","RES_C_0805","36.5000","4.9042","0","Resistor"
"R167","Resistor","TopLayer","RES_C_0805","36.7000","14.5368","0","Resistor"
"R161","Resistor","BottomLayer","RES_C_0805","37.4592","9.3500","270","Resistor"
"R160","Resistor","BottomLayer","RES_C_0805","37.4592","19.4500","90","Resistor"
"R159","Resistor","TopLayer","RES_C_0603","44.0750","21.1304","180","Resistor"
"R158","Resistor","TopLayer","RES_C_0603","40.6246","4.5806","90","Resistor"
"R157","Resistor","TopLayer","RES_C_0603","44.5000","11.4530","0","Resistor"
"R156","Resistor","BottomLayer","RES_C_0603","45.1000","21.3433","0","Resistor"
"R153","Resistor","BottomLayer","RES_C_0603","41.5186","27.3727","270","Resistor"
"R137","Resistor","BottomLayer","RES_C_0603","28.8000","26.7500","0","Resistor"
"R133","Resistor","TopLayer","RES_C_0603","12.4000","22.0500","270","Resistor"
"R128","Resistor","BottomLayer","RES_C_0603","25.6000","26.7500","0","Resistor"
"R121","Resistor","TopLayer","RES_C_0603","33.1693","14.7500","0","Resistor"
"R120","Resistor","TopLayer","RES_C_0603","33.3693","25.7499","0","Resistor"
"R119","Resistor","TopLayer","RES_C_0603","37.6000","3.1500","0","Resistor"
"R118","Resistor","TopLayer","RES_C_0603","21.1000","5.2754","90","Resistor"
"R115","Resistor","TopLayer","RES_C_0603","19.8000","5.2754","90","Resistor"
"R114","Resistor","TopLayer","RES_C_0603","22.4000","5.2754","90","Resistor"
"R112","Resistor","BottomLayer","RES_C_0603","33.1693","14.7500","180","Resistor"
"R110","Resistor","BottomLayer","RES_C_0603","37.3592","5.0521","180","Resistor"
"R103","Resistor","TopLayer","RES_C_1206","29.7001","9.3501","0","Resistor"
"R100","Resistor","TopLayer","RES_C_0805","32.0423","5.8500","0","Resistor"
"R99","Resistor","TopLayer","RES_C_0805","27.5871","5.8500","180","Resistor"
"R93","Resistor","TopLayer","RES_C_0402","8.4480","12.6276","0","Resistor"
"R92","Resistor","TopLayer","RES_C_0402","8.4980","13.6752","0","Resistor"
"R91","Resistor","TopLayer","RES_C_0402","6.5508","12.7188","0","Resistor"
"R85","Resistor","TopLayer","RES_C_0402","8.4906","15.8000","180","Resistor"
"R84","Resistor","TopLayer","RES_C_0402","8.4906","14.7496","0","Resistor"
"R83","Resistor","TopLayer","RES_C_0402","6.5537","15.7520","0","Resistor"
"R76","Resistor","TopLayer","RES_C_0402","10.6121","5.6851","180","Resistor"
"R75","Resistor","TopLayer","RES_C_0402","10.6124","6.6851","0","Resistor"
"R74","Resistor","TopLayer","RES_C_0402","7.5548","6.6489","0","Resistor"
"R69","Resistor","TopLayer","RES_C_0402","10.6092","8.7766","0","Resistor"
"R68","Resistor","TopLayer","RES_C_0402","10.6124","7.7226","0","Resistor"
"R67","Resistor","TopLayer","RES_C_0402","7.5548","7.6864","0","Resistor"
"R60","Resistor","TopLayer","RES_C_0402","9.5842","19.1938","180","Resistor"
"R59","Resistor","TopLayer","RES_C_0402","9.5842","20.2049","0","Resistor"
"R58","Resistor","TopLayer","RES_C_0402","7.7000","19.1716","0","Resistor"
"R52","Resistor","TopLayer","RES_C_0402","10.5341","22.3975","0","Resistor"
"R22","Resistor","TopLayer","RES_C_0402","9.5842","21.1882","0","Resistor"
"R21","Resistor","TopLayer","RES_C_0402","7.7000","22.1743","0","Resistor"
"Q6","Transistor MOS-N SSSGD","TopLayer","PPAK_SO-8L","46.3514","26.4100","270","Transistor MOS"
